TRAINING_STARTED 2025-08-14 13:57:00
LOG loss=0.1737, grad_norm=0.8279908895492554, learning_rate=6.282051282051282e-06, epoch=0.08547008547008547
STEP 51 EPOCH 0.09
STEP 52 EPOCH 0.09
STEP 53 EPOCH 0.09
STEP 54 EPOCH 0.09
STEP 55 EPOCH 0.09
STEP 56 EPOCH 0.10
STEP 57 EPOCH 0.10
STEP 58 EPOCH 0.10
STEP 59 EPOCH 0.10
STEP 60 EPOCH 0.10
LOG loss=0.1347, grad_norm=0.19788764417171478, learning_rate=7.564102564102564e-06, epoch=0.10256410256410256
STEP 61 EPOCH 0.10
STEP 62 EPOCH 0.11
STEP 63 EPOCH 0.11
STEP 64 EPOCH 0.11
STEP 65 EPOCH 0.11
STEP 66 EPOCH 0.11
STEP 67 EPOCH 0.11
STEP 68 EPOCH 0.12
STEP 69 EPOCH 0.12
STEP 70 EPOCH 0.12
LOG loss=0.2502, grad_norm=0.2779173254966736, learning_rate=8.846153846153847e-06, epoch=0.11965811965811966
STEP 71 EPOCH 0.12
STEP 72 EPOCH 0.12
STEP 73 EPOCH 0.12
STEP 74 EPOCH 0.13
STEP 75 EPOCH 0.13
STEP 76 EPOCH 0.13
STEP 77 EPOCH 0.13
STEP 78 EPOCH 0.13
STEP 79 EPOCH 0.14
STEP 80 EPOCH 0.14
LOG loss=0.1067, grad_norm=15.819238662719727, learning_rate=1.012820512820513e-05, epoch=0.13675213675213677
STEP 81 EPOCH 0.14
STEP 82 EPOCH 0.14
STEP 83 EPOCH 0.14
STEP 84 EPOCH 0.14
STEP 85 EPOCH 0.15
STEP 86 EPOCH 0.15
STEP 87 EPOCH 0.15
STEP 88 EPOCH 0.15
STEP 89 EPOCH 0.15
STEP 90 EPOCH 0.15
LOG loss=0.1994, grad_norm=0.08350582420825958, learning_rate=1.141025641025641e-05, epoch=0.15384615384615385
STEP 91 EPOCH 0.16
STEP 92 EPOCH 0.16
STEP 93 EPOCH 0.16
STEP 94 EPOCH 0.16
STEP 95 EPOCH 0.16
STEP 96 EPOCH 0.16
STEP 97 EPOCH 0.17
STEP 98 EPOCH 0.17
STEP 99 EPOCH 0.17
STEP 100 EPOCH 0.17
LOG loss=0.0519, grad_norm=0.6722465753555298, learning_rate=1.2692307692307693e-05, epoch=0.17094017094017094
STEP 101 EPOCH 0.17
STEP 102 EPOCH 0.17
STEP 103 EPOCH 0.18
STEP 104 EPOCH 0.18
STEP 105 EPOCH 0.18
STEP 106 EPOCH 0.18
STEP 107 EPOCH 0.18
STEP 108 EPOCH 0.18
STEP 109 EPOCH 0.19
STEP 110 EPOCH 0.19
LOG loss=0.0713, grad_norm=1.661204218864441, learning_rate=1.3974358974358975e-05, epoch=0.18803418803418803
STEP 111 EPOCH 0.19
STEP 112 EPOCH 0.19
STEP 113 EPOCH 0.19
STEP 114 EPOCH 0.19
STEP 115 EPOCH 0.20
STEP 116 EPOCH 0.20
STEP 117 EPOCH 0.20
STEP 118 EPOCH 0.20
STEP 119 EPOCH 0.20
STEP 120 EPOCH 0.21
LOG loss=0.0659, grad_norm=0.08513589203357697, learning_rate=1.5256410256410255e-05, epoch=0.20512820512820512
STEP 121 EPOCH 0.21
STEP 122 EPOCH 0.21
STEP 123 EPOCH 0.21
STEP 124 EPOCH 0.21
STEP 125 EPOCH 0.21
STEP 126 EPOCH 0.22
STEP 127 EPOCH 0.22
STEP 128 EPOCH 0.22
STEP 129 EPOCH 0.22
STEP 130 EPOCH 0.22
LOG loss=0.0552, grad_norm=15.804015159606934, learning_rate=1.653846153846154e-05, epoch=0.2222222222222222
STEP 131 EPOCH 0.22
STEP 132 EPOCH 0.23
STEP 133 EPOCH 0.23
STEP 134 EPOCH 0.23
STEP 135 EPOCH 0.23
STEP 136 EPOCH 0.23
STEP 137 EPOCH 0.23
STEP 138 EPOCH 0.24
STEP 139 EPOCH 0.24
STEP 140 EPOCH 0.24
LOG loss=0.0912, grad_norm=3.326526165008545, learning_rate=1.782051282051282e-05, epoch=0.23931623931623933
STEP 141 EPOCH 0.24
STEP 142 EPOCH 0.24
STEP 143 EPOCH 0.24
STEP 144 EPOCH 0.25
STEP 145 EPOCH 0.25
STEP 146 EPOCH 0.25
STEP 147 EPOCH 0.25
STEP 148 EPOCH 0.25
STEP 149 EPOCH 0.25
STEP 150 EPOCH 0.26
LOG loss=0.0425, grad_norm=0.08109837025403976, learning_rate=1.9102564102564103e-05, epoch=0.2564102564102564
STEP 151 EPOCH 0.26
STEP 152 EPOCH 0.26
STEP 153 EPOCH 0.26
STEP 154 EPOCH 0.26
STEP 155 EPOCH 0.26
STEP 156 EPOCH 0.27
STEP 157 EPOCH 0.27
STEP 158 EPOCH 0.27
STEP 159 EPOCH 0.27
STEP 160 EPOCH 0.27
LOG loss=0.1517, grad_norm=51.60313415527344, learning_rate=2.0384615384615387e-05, epoch=0.27350427350427353
STEP 161 EPOCH 0.28
STEP 162 EPOCH 0.28
STEP 163 EPOCH 0.28
STEP 164 EPOCH 0.28
STEP 165 EPOCH 0.28
STEP 166 EPOCH 0.28
STEP 167 EPOCH 0.29
STEP 168 EPOCH 0.29
STEP 169 EPOCH 0.29
STEP 170 EPOCH 0.29
LOG loss=0.0247, grad_norm=0.5918771624565125, learning_rate=2.1666666666666667e-05, epoch=0.2905982905982906
STEP 171 EPOCH 0.29
STEP 172 EPOCH 0.29
STEP 173 EPOCH 0.30
STEP 174 EPOCH 0.30
STEP 175 EPOCH 0.30
STEP 176 EPOCH 0.30
STEP 177 EPOCH 0.30
STEP 178 EPOCH 0.30
STEP 179 EPOCH 0.31
STEP 180 EPOCH 0.31
LOG loss=0.0635, grad_norm=12.559840202331543, learning_rate=2.2948717948717947e-05, epoch=0.3076923076923077
STEP 181 EPOCH 0.31
STEP 182 EPOCH 0.31
STEP 183 EPOCH 0.31
STEP 184 EPOCH 0.31
STEP 185 EPOCH 0.32
STEP 186 EPOCH 0.32
STEP 187 EPOCH 0.32
STEP 188 EPOCH 0.32
STEP 189 EPOCH 0.32
STEP 190 EPOCH 0.32
LOG loss=0.2205, grad_norm=78.58584594726562, learning_rate=2.423076923076923e-05, epoch=0.3247863247863248
STEP 191 EPOCH 0.33
STEP 192 EPOCH 0.33
STEP 193 EPOCH 0.33
STEP 194 EPOCH 0.33
STEP 195 EPOCH 0.33
STEP 196 EPOCH 0.34
STEP 197 EPOCH 0.34
STEP 198 EPOCH 0.34
STEP 199 EPOCH 0.34
STEP 200 EPOCH 0.34
LOG loss=0.1757, grad_norm=0.10610391199588776, learning_rate=2.551282051282051e-05, epoch=0.3418803418803419
STEP 201 EPOCH 0.34
STEP 202 EPOCH 0.35
STEP 203 EPOCH 0.35
STEP 204 EPOCH 0.35
STEP 205 EPOCH 0.35
STEP 206 EPOCH 0.35
STEP 207 EPOCH 0.35
STEP 208 EPOCH 0.36
STEP 209 EPOCH 0.36
STEP 210 EPOCH 0.36
LOG loss=0.1178, grad_norm=0.40707701444625854, learning_rate=2.67948717948718e-05, epoch=0.358974358974359
STEP 211 EPOCH 0.36
STEP 212 EPOCH 0.36
STEP 213 EPOCH 0.36
STEP 214 EPOCH 0.37
STEP 215 EPOCH 0.37
STEP 216 EPOCH 0.37
STEP 217 EPOCH 0.37
STEP 218 EPOCH 0.37
STEP 219 EPOCH 0.37
STEP 220 EPOCH 0.38
LOG loss=0.0515, grad_norm=2.0894503593444824, learning_rate=2.807692307692308e-05, epoch=0.37606837606837606
STEP 221 EPOCH 0.38
STEP 222 EPOCH 0.38
STEP 223 EPOCH 0.38
STEP 224 EPOCH 0.38
STEP 225 EPOCH 0.38
STEP 226 EPOCH 0.39
STEP 227 EPOCH 0.39
STEP 228 EPOCH 0.39
STEP 229 EPOCH 0.39
STEP 230 EPOCH 0.39
LOG loss=0.0086, grad_norm=2.229086399078369, learning_rate=2.935897435897436e-05, epoch=0.39316239316239315
STEP 231 EPOCH 0.39
STEP 232 EPOCH 0.40
STEP 233 EPOCH 0.40
STEP 234 EPOCH 0.40
STEP 235 EPOCH 0.40
STEP 236 EPOCH 0.40
STEP 237 EPOCH 0.41
STEP 238 EPOCH 0.41
STEP 239 EPOCH 0.41
STEP 240 EPOCH 0.41
LOG loss=0.0836, grad_norm=11.171867370605469, learning_rate=2.992877492877493e-05, epoch=0.41025641025641024
STEP 241 EPOCH 0.41
STEP 242 EPOCH 0.41
STEP 243 EPOCH 0.42
STEP 244 EPOCH 0.42
STEP 245 EPOCH 0.42
STEP 246 EPOCH 0.42
STEP 247 EPOCH 0.42
STEP 248 EPOCH 0.42
STEP 249 EPOCH 0.43
STEP 250 EPOCH 0.43
LOG loss=0.0094, grad_norm=1.2787805795669556, learning_rate=2.9786324786324787e-05, epoch=0.42735042735042733
STEP 251 EPOCH 0.43
STEP 252 EPOCH 0.43
STEP 253 EPOCH 0.43
STEP 254 EPOCH 0.43
STEP 255 EPOCH 0.44
STEP 256 EPOCH 0.44
STEP 257 EPOCH 0.44
STEP 258 EPOCH 0.44
STEP 259 EPOCH 0.44
STEP 260 EPOCH 0.44
LOG loss=0.0267, grad_norm=0.004148065112531185, learning_rate=2.9643874643874644e-05, epoch=0.4444444444444444
STEP 261 EPOCH 0.45
STEP 262 EPOCH 0.45
STEP 263 EPOCH 0.45
STEP 264 EPOCH 0.45
STEP 265 EPOCH 0.45
STEP 266 EPOCH 0.45
STEP 267 EPOCH 0.46
STEP 268 EPOCH 0.46
STEP 269 EPOCH 0.46
STEP 270 EPOCH 0.46
LOG loss=0.0268, grad_norm=27.23188591003418, learning_rate=2.95014245014245e-05, epoch=0.46153846153846156
STEP 271 EPOCH 0.46
STEP 272 EPOCH 0.46
STEP 273 EPOCH 0.47
STEP 274 EPOCH 0.47
STEP 275 EPOCH 0.47
STEP 276 EPOCH 0.47
STEP 277 EPOCH 0.47
STEP 278 EPOCH 0.48
STEP 279 EPOCH 0.48
STEP 280 EPOCH 0.48
LOG loss=0.0307, grad_norm=7.03140115737915, learning_rate=2.935897435897436e-05, epoch=0.47863247863247865
STEP 281 EPOCH 0.48
STEP 282 EPOCH 0.48
STEP 283 EPOCH 0.48
STEP 284 EPOCH 0.49
STEP 285 EPOCH 0.49
STEP 286 EPOCH 0.49
STEP 287 EPOCH 0.49
STEP 288 EPOCH 0.49
STEP 289 EPOCH 0.49
STEP 290 EPOCH 0.50
LOG loss=0.0436, grad_norm=8.5167818069458, learning_rate=2.9216524216524216e-05, epoch=0.49572649572649574
STEP 291 EPOCH 0.50
STEP 292 EPOCH 0.50
STEP 293 EPOCH 0.50
STEP 294 EPOCH 0.50
STEP 295 EPOCH 0.50
STEP 296 EPOCH 0.51
STEP 297 EPOCH 0.51
STEP 298 EPOCH 0.51
STEP 299 EPOCH 0.51
STEP 300 EPOCH 0.51
LOG loss=0.1066, grad_norm=13.823025703430176, learning_rate=2.9074074074074074e-05, epoch=0.5128205128205128
STEP 301 EPOCH 0.51
STEP 302 EPOCH 0.52
STEP 303 EPOCH 0.52
STEP 304 EPOCH 0.52
STEP 305 EPOCH 0.52
STEP 306 EPOCH 0.52
STEP 307 EPOCH 0.52
STEP 308 EPOCH 0.53
STEP 309 EPOCH 0.53
STEP 310 EPOCH 0.53
LOG loss=0.1083, grad_norm=9.709237098693848, learning_rate=2.893162393162393e-05, epoch=0.5299145299145299
STEP 311 EPOCH 0.53
STEP 312 EPOCH 0.53
STEP 313 EPOCH 0.54
STEP 314 EPOCH 0.54
STEP 315 EPOCH 0.54
STEP 316 EPOCH 0.54
STEP 317 EPOCH 0.54
STEP 318 EPOCH 0.54
STEP 319 EPOCH 0.55
STEP 320 EPOCH 0.55
LOG loss=0.0561, grad_norm=0.11408944427967072, learning_rate=2.878917378917379e-05, epoch=0.5470085470085471
STEP 321 EPOCH 0.55
STEP 322 EPOCH 0.55
STEP 323 EPOCH 0.55
STEP 324 EPOCH 0.55
STEP 325 EPOCH 0.56
STEP 326 EPOCH 0.56
STEP 327 EPOCH 0.56
STEP 328 EPOCH 0.56
STEP 329 EPOCH 0.56
STEP 330 EPOCH 0.56
LOG loss=0.0286, grad_norm=0.41731083393096924, learning_rate=2.8646723646723646e-05, epoch=0.5641025641025641
STEP 331 EPOCH 0.57
STEP 332 EPOCH 0.57
STEP 333 EPOCH 0.57
STEP 334 EPOCH 0.57
STEP 335 EPOCH 0.57
STEP 336 EPOCH 0.57
STEP 337 EPOCH 0.58
STEP 338 EPOCH 0.58
STEP 339 EPOCH 0.58
STEP 340 EPOCH 0.58
LOG loss=0.0347, grad_norm=0.7893703579902649, learning_rate=2.8504273504273503e-05, epoch=0.5811965811965812
STEP 341 EPOCH 0.58
STEP 342 EPOCH 0.58
STEP 343 EPOCH 0.59
STEP 344 EPOCH 0.59
STEP 345 EPOCH 0.59
STEP 346 EPOCH 0.59
STEP 347 EPOCH 0.59
STEP 348 EPOCH 0.59
STEP 349 EPOCH 0.60
STEP 350 EPOCH 0.60
LOG loss=0.0617, grad_norm=0.07437670975923538, learning_rate=2.8361823361823364e-05, epoch=0.5982905982905983
STEP 351 EPOCH 0.60
STEP 352 EPOCH 0.60
STEP 353 EPOCH 0.60
STEP 354 EPOCH 0.61
STEP 355 EPOCH 0.61
STEP 356 EPOCH 0.61
STEP 357 EPOCH 0.61
STEP 358 EPOCH 0.61
STEP 359 EPOCH 0.61
STEP 360 EPOCH 0.62
LOG loss=0.0137, grad_norm=2.544589042663574, learning_rate=2.821937321937322e-05, epoch=0.6153846153846154
STEP 361 EPOCH 0.62
STEP 362 EPOCH 0.62
STEP 363 EPOCH 0.62
STEP 364 EPOCH 0.62
STEP 365 EPOCH 0.62
STEP 366 EPOCH 0.63
STEP 367 EPOCH 0.63
STEP 368 EPOCH 0.63
STEP 369 EPOCH 0.63
STEP 370 EPOCH 0.63
LOG loss=0.1013, grad_norm=2.5112786293029785, learning_rate=2.807692307692308e-05, epoch=0.6324786324786325
STEP 371 EPOCH 0.63
STEP 372 EPOCH 0.64
STEP 373 EPOCH 0.64
STEP 374 EPOCH 0.64
STEP 375 EPOCH 0.64
STEP 376 EPOCH 0.64
STEP 377 EPOCH 0.64
STEP 378 EPOCH 0.65
STEP 379 EPOCH 0.65
STEP 380 EPOCH 0.65
LOG loss=0.1179, grad_norm=8.261824607849121, learning_rate=2.7934472934472936e-05, epoch=0.6495726495726496
STEP 381 EPOCH 0.65
STEP 382 EPOCH 0.65
STEP 383 EPOCH 0.65
STEP 384 EPOCH 0.66
STEP 385 EPOCH 0.66
STEP 386 EPOCH 0.66
STEP 387 EPOCH 0.66
STEP 388 EPOCH 0.66
STEP 389 EPOCH 0.66
STEP 390 EPOCH 0.67
LOG loss=0.2196, grad_norm=67.50109100341797, learning_rate=2.7792022792022793e-05, epoch=0.6666666666666666
STEP 391 EPOCH 0.67
STEP 392 EPOCH 0.67
STEP 393 EPOCH 0.67
STEP 394 EPOCH 0.67
STEP 395 EPOCH 0.68
STEP 396 EPOCH 0.68
STEP 397 EPOCH 0.68
STEP 398 EPOCH 0.68
STEP 399 EPOCH 0.68
STEP 400 EPOCH 0.68
LOG loss=0.292, grad_norm=0.03361804038286209, learning_rate=2.764957264957265e-05, epoch=0.6837606837606838
STEP 401 EPOCH 0.69
STEP 402 EPOCH 0.69
STEP 403 EPOCH 0.69
STEP 404 EPOCH 0.69
STEP 405 EPOCH 0.69
STEP 406 EPOCH 0.69
STEP 407 EPOCH 0.70
STEP 408 EPOCH 0.70
STEP 409 EPOCH 0.70
STEP 410 EPOCH 0.70
LOG loss=0.0391, grad_norm=4.3909454345703125, learning_rate=2.7507122507122508e-05, epoch=0.7008547008547008
STEP 411 EPOCH 0.70
STEP 412 EPOCH 0.70
STEP 413 EPOCH 0.71
STEP 414 EPOCH 0.71
STEP 415 EPOCH 0.71
STEP 416 EPOCH 0.71
STEP 417 EPOCH 0.71
STEP 418 EPOCH 0.71
STEP 419 EPOCH 0.72
STEP 420 EPOCH 0.72
LOG loss=0.0622, grad_norm=0.08630833774805069, learning_rate=2.7364672364672365e-05, epoch=0.717948717948718
STEP 421 EPOCH 0.72
STEP 422 EPOCH 0.72
STEP 423 EPOCH 0.72
STEP 424 EPOCH 0.72
STEP 425 EPOCH 0.73
STEP 426 EPOCH 0.73
STEP 427 EPOCH 0.73
STEP 428 EPOCH 0.73
STEP 429 EPOCH 0.73
STEP 430 EPOCH 0.74
LOG loss=0.0324, grad_norm=0.03527950122952461, learning_rate=2.7222222222222223e-05, epoch=0.7350427350427351
STEP 431 EPOCH 0.74
STEP 432 EPOCH 0.74
STEP 433 EPOCH 0.74
STEP 434 EPOCH 0.74
STEP 435 EPOCH 0.74
STEP 436 EPOCH 0.75
STEP 437 EPOCH 0.75
STEP 438 EPOCH 0.75
STEP 439 EPOCH 0.75
STEP 440 EPOCH 0.75
LOG loss=0.1587, grad_norm=1.186107873916626, learning_rate=2.707977207977208e-05, epoch=0.7521367521367521
STEP 441 EPOCH 0.75
STEP 442 EPOCH 0.76
STEP 443 EPOCH 0.76
STEP 444 EPOCH 0.76
STEP 445 EPOCH 0.76
STEP 446 EPOCH 0.76
STEP 447 EPOCH 0.76
STEP 448 EPOCH 0.77
STEP 449 EPOCH 0.77
STEP 450 EPOCH 0.77
LOG loss=0.0406, grad_norm=3.626347541809082, learning_rate=2.6937321937321938e-05, epoch=0.7692307692307693
STEP 451 EPOCH 0.77
STEP 452 EPOCH 0.77
STEP 453 EPOCH 0.77
STEP 454 EPOCH 0.78
STEP 455 EPOCH 0.78
STEP 456 EPOCH 0.78
STEP 457 EPOCH 0.78
STEP 458 EPOCH 0.78
STEP 459 EPOCH 0.78
STEP 460 EPOCH 0.79
LOG loss=0.1325, grad_norm=17.568687438964844, learning_rate=2.67948717948718e-05, epoch=0.7863247863247863
STEP 461 EPOCH 0.79
STEP 462 EPOCH 0.79
STEP 463 EPOCH 0.79
STEP 464 EPOCH 0.79
STEP 465 EPOCH 0.79
STEP 466 EPOCH 0.80
STEP 467 EPOCH 0.80
STEP 468 EPOCH 0.80
STEP 469 EPOCH 0.80
STEP 470 EPOCH 0.80
LOG loss=0.2364, grad_norm=4.530449390411377, learning_rate=2.6652421652421656e-05, epoch=0.8034188034188035
STEP 471 EPOCH 0.81
STEP 472 EPOCH 0.81
STEP 473 EPOCH 0.81
STEP 474 EPOCH 0.81
STEP 475 EPOCH 0.81
STEP 476 EPOCH 0.81
STEP 477 EPOCH 0.82
STEP 478 EPOCH 0.82
STEP 479 EPOCH 0.82
STEP 480 EPOCH 0.82
LOG loss=0.0717, grad_norm=0.04585153982043266, learning_rate=2.650997150997151e-05, epoch=0.8205128205128205
STEP 481 EPOCH 0.82
STEP 482 EPOCH 0.82
STEP 483 EPOCH 0.83
STEP 484 EPOCH 0.83
STEP 485 EPOCH 0.83
STEP 486 EPOCH 0.83
STEP 487 EPOCH 0.83
STEP 488 EPOCH 0.83
STEP 489 EPOCH 0.84
STEP 490 EPOCH 0.84
LOG loss=0.1287, grad_norm=152.63406372070312, learning_rate=2.6367521367521367e-05, epoch=0.8376068376068376
STEP 491 EPOCH 0.84
STEP 492 EPOCH 0.84
STEP 493 EPOCH 0.84
STEP 494 EPOCH 0.84
STEP 495 EPOCH 0.85
STEP 496 EPOCH 0.85
STEP 497 EPOCH 0.85
STEP 498 EPOCH 0.85
STEP 499 EPOCH 0.85
STEP 500 EPOCH 0.85
LOG loss=0.1602, grad_norm=0.007708891294896603, learning_rate=2.6225071225071224e-05, epoch=0.8547008547008547
STEP 501 EPOCH 0.86
STEP 502 EPOCH 0.86
STEP 503 EPOCH 0.86
STEP 504 EPOCH 0.86
STEP 505 EPOCH 0.86
STEP 506 EPOCH 0.86
STEP 507 EPOCH 0.87
STEP 508 EPOCH 0.87
STEP 509 EPOCH 0.87
STEP 510 EPOCH 0.87
LOG loss=0.3718, grad_norm=0.009352421388030052, learning_rate=2.6082621082621082e-05, epoch=0.8717948717948718
STEP 511 EPOCH 0.87
STEP 512 EPOCH 0.88
STEP 513 EPOCH 0.88
STEP 514 EPOCH 0.88
STEP 515 EPOCH 0.88
STEP 516 EPOCH 0.88
STEP 517 EPOCH 0.88
STEP 518 EPOCH 0.89
STEP 519 EPOCH 0.89
STEP 520 EPOCH 0.89
LOG loss=0.0218, grad_norm=16.396787643432617, learning_rate=2.594017094017094e-05, epoch=0.8888888888888888
STEP 521 EPOCH 0.89
STEP 522 EPOCH 0.89
STEP 523 EPOCH 0.89
STEP 524 EPOCH 0.90
STEP 525 EPOCH 0.90
STEP 526 EPOCH 0.90
STEP 527 EPOCH 0.90
STEP 528 EPOCH 0.90
STEP 529 EPOCH 0.90
STEP 530 EPOCH 0.91
LOG loss=0.093, grad_norm=0.013986466452479362, learning_rate=2.5797720797720797e-05, epoch=0.905982905982906
STEP 531 EPOCH 0.91
STEP 532 EPOCH 0.91
STEP 533 EPOCH 0.91
STEP 534 EPOCH 0.91
STEP 535 EPOCH 0.91
STEP 536 EPOCH 0.92
STEP 537 EPOCH 0.92
STEP 538 EPOCH 0.92
STEP 539 EPOCH 0.92
STEP 540 EPOCH 0.92
LOG loss=0.0115, grad_norm=12.443977355957031, learning_rate=2.5655270655270654e-05, epoch=0.9230769230769231
STEP 541 EPOCH 0.92
STEP 542 EPOCH 0.93
STEP 543 EPOCH 0.93
STEP 544 EPOCH 0.93
STEP 545 EPOCH 0.93
STEP 546 EPOCH 0.93
STEP 547 EPOCH 0.94
STEP 548 EPOCH 0.94
STEP 549 EPOCH 0.94
STEP 550 EPOCH 0.94
LOG loss=0.2387, grad_norm=45.10161209106445, learning_rate=2.551282051282051e-05, epoch=0.9401709401709402
STEP 551 EPOCH 0.94
STEP 552 EPOCH 0.94
STEP 553 EPOCH 0.95
STEP 554 EPOCH 0.95
STEP 555 EPOCH 0.95
STEP 556 EPOCH 0.95
STEP 557 EPOCH 0.95
STEP 558 EPOCH 0.95
STEP 559 EPOCH 0.96
STEP 560 EPOCH 0.96
LOG loss=0.1224, grad_norm=4.482247352600098, learning_rate=2.5370370370370372e-05, epoch=0.9572649572649573
STEP 561 EPOCH 0.96
STEP 562 EPOCH 0.96
STEP 563 EPOCH 0.96
STEP 564 EPOCH 0.96
STEP 565 EPOCH 0.97
STEP 566 EPOCH 0.97
STEP 567 EPOCH 0.97
STEP 568 EPOCH 0.97
STEP 569 EPOCH 0.97
STEP 570 EPOCH 0.97
LOG loss=0.2029, grad_norm=0.09155351668596268, learning_rate=2.522792022792023e-05, epoch=0.9743589743589743
STEP 571 EPOCH 0.98
STEP 572 EPOCH 0.98
STEP 573 EPOCH 0.98
STEP 574 EPOCH 0.98
STEP 575 EPOCH 0.98
STEP 576 EPOCH 0.98
STEP 577 EPOCH 0.99
STEP 578 EPOCH 0.99
STEP 579 EPOCH 0.99
STEP 580 EPOCH 0.99
LOG loss=0.0748, grad_norm=0.01712423376739025, learning_rate=2.5085470085470087e-05, epoch=0.9914529914529915
STEP 581 EPOCH 0.99
STEP 582 EPOCH 0.99
STEP 583 EPOCH 1.00
STEP 584 EPOCH 1.00
STEP 585 EPOCH 1.00
STEP 586 EPOCH 1.00
STEP 587 EPOCH 1.00
STEP 588 EPOCH 1.01
STEP 589 EPOCH 1.01
STEP 590 EPOCH 1.01
LOG loss=0.2464, grad_norm=6.3857879638671875, learning_rate=2.4943019943019944e-05, epoch=1.0085470085470085
STEP 591 EPOCH 1.01
STEP 592 EPOCH 1.01
STEP 593 EPOCH 1.01
STEP 594 EPOCH 1.02
STEP 595 EPOCH 1.02
STEP 596 EPOCH 1.02
STEP 597 EPOCH 1.02
STEP 598 EPOCH 1.02
STEP 599 EPOCH 1.02
STEP 600 EPOCH 1.03
LOG loss=0.0151, grad_norm=0.8999098539352417, learning_rate=2.48005698005698e-05, epoch=1.0256410256410255
STEP 601 EPOCH 1.03
STEP 602 EPOCH 1.03
STEP 603 EPOCH 1.03
STEP 604 EPOCH 1.03
STEP 605 EPOCH 1.03
STEP 606 EPOCH 1.04
STEP 607 EPOCH 1.04
STEP 608 EPOCH 1.04
STEP 609 EPOCH 1.04
STEP 610 EPOCH 1.04
LOG loss=0.1653, grad_norm=29.309640884399414, learning_rate=2.465811965811966e-05, epoch=1.0427350427350428
STEP 611 EPOCH 1.04
STEP 612 EPOCH 1.05
STEP 613 EPOCH 1.05
STEP 614 EPOCH 1.05
STEP 615 EPOCH 1.05
STEP 616 EPOCH 1.05
STEP 617 EPOCH 1.05
STEP 618 EPOCH 1.06
STEP 619 EPOCH 1.06
STEP 620 EPOCH 1.06
LOG loss=0.3264, grad_norm=0.028529349714517593, learning_rate=2.4515669515669516e-05, epoch=1.0598290598290598
STEP 621 EPOCH 1.06
STEP 622 EPOCH 1.06
STEP 623 EPOCH 1.06
STEP 624 EPOCH 1.07
STEP 625 EPOCH 1.07
STEP 626 EPOCH 1.07
STEP 627 EPOCH 1.07
STEP 628 EPOCH 1.07
STEP 629 EPOCH 1.08
STEP 630 EPOCH 1.08
LOG loss=0.3281, grad_norm=0.06257454305887222, learning_rate=2.4373219373219374e-05, epoch=1.0769230769230769
STEP 631 EPOCH 1.08
STEP 632 EPOCH 1.08
STEP 633 EPOCH 1.08
STEP 634 EPOCH 1.08
STEP 635 EPOCH 1.09
STEP 636 EPOCH 1.09
STEP 637 EPOCH 1.09
STEP 638 EPOCH 1.09
STEP 639 EPOCH 1.09
STEP 640 EPOCH 1.09
LOG loss=0.1097, grad_norm=2.432035446166992, learning_rate=2.423076923076923e-05, epoch=1.0940170940170941
STEP 641 EPOCH 1.10
STEP 642 EPOCH 1.10
STEP 643 EPOCH 1.10
STEP 644 EPOCH 1.10
STEP 645 EPOCH 1.10
STEP 646 EPOCH 1.10
STEP 647 EPOCH 1.11
STEP 648 EPOCH 1.11
